table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,zh-cn,光华学园前,,,光華学園前
stops,stop_name,zh-tw,光華學園前,,,光華学園前
stops,stop_name,ko,고카가쿠엔마에,,,光華学園前
stops,stop_name,ja-Hrkt,こうかがくえんまえ,,,光華学園前
stops,stop_name,ja,八幡前,,,八幡前
stops,stop_name,en,Hachiman-mae,,,八幡前
stops,stop_name,zh-cn,八幡前,,,八幡前
stops,stop_name,zh-tw,八幡前,,,八幡前
stops,stop_name,ko,하치만마에,,,八幡前
stops,stop_name,ja-Hrkt,はちまんまえ,,,八幡前
stops,stop_name,ja,八桝口,,,八桝口
stops,stop_name,en,Yamasuguchi,,,八桝口
stops,stop_name,zh-cn,八桝口,,,八桝口
stops,stop_name,zh-tw,八桝口,,,八桝口
stops,stop_name,ko,야마스구치,,,八桝口
stops,stop_name,ja-Hrkt,やますぐち,,,八桝口
stops,stop_name,ja,八桝校前,,,八桝校前
stops,stop_name,en,Yamasuko-mae,,,八桝校前
stops,stop_name,zh-cn,八桝校前,,,八桝校前
stops,stop_name,zh-tw,八桝校前,,,八桝校前
stops,stop_name,ko,야마스코마에,,,八桝校前
stops,stop_name,ja-Hrkt,やますこうまえ,,,八桝校前
stops,stop_name,ja,八桝橋,,,八桝橋
stops,stop_name,en,Yamasubashi,,,八桝橋
stops,stop_name,zh-cn,八桝桥,,,八桝橋
stops,stop_name,zh-tw,八桝橋,,,八桝橋
stops,stop_name,ko,야마스바시,,,八桝橋
stops,stop_name,ja-Hrkt,やますばし,,,八桝橋
stops,stop_name,ja,八瀬大橋,,,八瀬大橋
stops,stop_name,en,Yaseohashi,,,八瀬大橋
stops,stop_name,zh-cn,八濑大桥,,,八瀬大橋
stops,stop_name,zh-tw,八瀨大橋,,,八瀬大橋
stops,stop_name,ko,야세오하시,,,八瀬大橋
stops,stop_name,ja-Hrkt,やせおおはし,,,八瀬大橋
stops,stop_name,ja,八瀬甲ヶ渕,,,八瀬甲ヶ渕
stops,stop_name,en,Yase Kabutogafuchi,,,八瀬甲ヶ渕
stops,stop_name,zh-cn,八濑甲渕,,,八瀬甲ヶ渕
stops,stop_name,zh-tw,八瀨甲渕,,,八瀬甲ヶ渕
stops,stop_name,ko,야세 카부토가후치,,,八瀬甲ヶ渕
stops,stop_name,ja-Hrkt,やせかぶとがふち,,,八瀬甲ヶ渕
stops,stop_name,ja,八瀬甲賀小路,,,八瀬甲賀小路
stops,stop_name,en,Yase Kogakoji,,,八瀬甲賀小路
stops,stop_name,zh-cn,八濑甲贺小路,,,八瀬甲賀小路
stops,stop_name,zh-tw,八瀨甲賀小路,,,八瀬甲賀小路
stops,stop_name,ko,야세 코가코지,,,八瀬甲賀小路
stops,stop_name,ja-Hrkt,やせこがこうじ,,,八瀬甲賀小路
stops,stop_name,ja,八瀬駅前,,,八瀬駅前
stops,stop_name,en,Yase Sta.,,,八瀬駅前
stops,stop_name,zh-cn,八濑站前,,,八瀬駅前
stops,stop_name,zh-tw,八瀨站前,,,八瀬駅前
stops,stop_name,ko,야세역,,,八瀬駅前
stops,stop_name,ja-Hrkt,やせえきまえ,,,八瀬駅前
stops,stop_name,ja,内田町,,,内田町
stops,stop_name,en,Uchidacho,,,内田町
stops,stop_name,zh-cn,内田町,,,内田町
stops,stop_name,zh-tw,內田町,,,内田町
stops,stop_name,ko,우치다초,,,内田町
stops,stop_name,ja-Hrkt,うちだちょう,,,内田町
stops,stop_name,ja,出町柳駅前,,,出町柳駅前
stops,stop_name,en,Demachiyanagi Sta.,,,出町柳駅前
stops,stop_name,zh-cn,出町柳站前,,,出町柳駅前
stops,stop_name,zh-tw,出町柳站前,,,出町柳駅前
stops,stop_name,ko,데마치야나기에키마에,,,出町柳駅前
stops,stop_name,ja-Hrkt,でまちやなぎえきまえ,,,出町柳駅前
stops,stop_name,ja,出雲路橋,,,出雲路橋
stops,stop_name,en,Izumojibashi,,,出雲路橋
stops,stop_name,zh-cn,出云路桥,,,出雲路橋
stops,stop_name,zh-tw,出雲路橋,,,出雲路橋
stops,stop_name,ko,이즈모지바시,,,出雲路橋
stops,stop_name,ja-Hrkt,いずもじばし,,,出雲路橋
stops,stop_name,ja,別所上の町,,,別所上の町
stops,stop_name,en,Bessho Kaminocho,,,別所上の町
stops,stop_name,zh-cn,别所上町,,,別所上の町
stops,stop_name,zh-tw,別所上町,,,別所上の町
stops,stop_name,ko,벳쇼 카미노초,,,別所上の町
stops,stop_name,ja-Hrkt,べっしょかみのちょう,,,別所上の町
stops,stop_name,ja,別所下の町,,,別所下の町
stops,stop_name,en,Bessho Shimonocho,,,別所下の町
stops,stop_name,zh-cn,别所下町,,,別所下の町
stops,stop_name,zh-tw,別所下町,,,別所下の町
stops,stop_name,ko,벳쇼 시모노초,,,別所下の町
stops,stop_name,ja-Hrkt,べっしょしものちょう,,,別所下の町
stops,stop_name,ja,別所中の町,,,別所中の町
stops,stop_name,en,Bessho Nakanocho,,,別所中の町
stops,stop_name,zh-cn,别所中町,,,別所中の町
stops,stop_name,zh-tw,別所中町,,,別所中の町
stops,stop_name,ko,벳쇼 나카노초,,,別所中の町
stops,stop_name,ja-Hrkt,べっしょなかのちょう,,,別所中の町
stops,stop_name,ja,加茂大橋,,,加茂大橋
stops,stop_name,en,Kamoohashi,,,加茂大橋
stops,stop_name,zh-cn,加茂大桥,,,加茂大橋
stops,stop_name,zh-tw,加茂大橋,,,加茂大橋
stops,stop_name,ko,카모오하시,,,加茂大橋
stops,stop_name,ja-Hrkt,かもおおはし,,,加茂大橋
stops,stop_name,ja,加茂川中学前,,,加茂川中学前
stops,stop_name,en,Kamogawa Chugaku-mae,,,加茂川中学前
stops,stop_name,zh-cn,加茂川中学前,,,加茂川中学前
stops,stop_name,zh-tw,加茂川中學前,,,加茂川中学前
stops,stop_name,ko,가모가와추가쿠마에,,,加茂川中学前
stops,stop_name,ja-Hrkt,かもがわちゅうがくまえ,,,加茂川中学前
stops,stop_name,ja,北大路バスターミナル（地下鉄北大路駅）,,,北大路バスターミナル（地下鉄北大路駅）
stops,stop_name,en,Kitaoji BusTerminal,,,北大路バスターミナル（地下鉄北大路駅）
stops,stop_name,zh-cn,北大路公交车总站,,,北大路バスターミナル（地下鉄北大路駅）
stops,stop_name,zh-tw,北大路公交車總站,,,北大路バスターミナル（地下鉄北大路駅）
stops,stop_name,ko,기타오지바스타미나루,,,北大路バスターミナル（地下鉄北大路駅）
stops,stop_name,ja-Hrkt,きたおおじばすたーみなる(ちかてつ　きたおおじえき),,,北大路バスターミナル（地下鉄北大路駅）
stops,stop_name,ja,北大路堀川,,,北大路堀川
stops,stop_name,en,Kitaoji Horikawa,,,北大路堀川
stops,stop_name,zh-cn,北大路堀川,,,北大路堀川
stops,stop_name,zh-tw,北大路堀川,,,北大路堀川
stops,stop_name,ko,기타오지호리카와,,,北大路堀川
stops,stop_name,ja-Hrkt,きたおおじほりかわ,,,北大路堀川
stops,stop_name,ja,北大路新町,,,北大路新町
stops,stop_name,en,Kitaoji Shinmachi,,,北大路新町
stops,stop_name,zh-cn,北大路新町,,,北大路新町
stops,stop_name,zh-tw,北大路新町,,,北大路新町
stops,stop_name,ko,기타오지신마치,,,北大路新町
stops,stop_name,ja-Hrkt,きたおおじしんまち,,,北大路新町
stops,stop_name,ja,北白川,,,北白川
stops,stop_name,en,Kitashirakawa,,,北白川
stops,stop_name,zh-cn,北白川,,,北白川
stops,stop_name,zh-tw,北白川,,,北白川
stops,stop_name,ko,기타시라카와,,,北白川
stops,stop_name,ja-Hrkt,きたしらかわ,,,北白川
stops,stop_name,ja,北白川別当町,,,北白川別当町
stops,stop_name,en,Kitashirakawa Bettocho,,,北白川別当町
stops,stop_name,zh-cn,北白川别当町,,,北白川別当町
stops,stop_name,zh-tw,北白川別當町,,,北白川別当町
stops,stop_name,ko,기타시라카와벳토초,,,北白川別当町
stops,stop_name,ja-Hrkt,きたしらかわべっとうちょう,,,北白川別当町
