route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
003A0,01001,00302_01001_2727,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2727,S_00302020,1,0
003A0,01001,00302_01001_2728,四条河原町・百万遍・北白川仕伏町,,1,00302_01001_2728,S_00302030,1,0
00302,01001,00302_01001_2729,四条河原町・百万遍・上終町,,1,00302_01001_2729,S_00302010,1,0
003A0,01001,00302_01001_2730,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2730,S_00302020,1,0
00302,01001,00302_01001_2731,四条河原町・百万遍・上終町,,1,00302_01001_2731,S_00302030,1,0
00302,01001,00302_01001_2735,四条河原町・百万遍・上終町,,1,003A0_01001_3039,S_00302010,1,0
003A0,01001,00302_01001_2736,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2736,S_00302020,1,0
00302,01001,00302_01001_2737,四条河原町・百万遍・上終町,,1,00302_01001_2737,S_00302030,1,0
00302,01001,00302_01001_2747,四条河原町・百万遍・上終町,,1,003A0_01001_2828,S_00302010,1,0
003A0,01001,00302_01001_2748,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2748,S_00302020,1,0
00302,01001,00302_01001_2749,四条河原町・百万遍・上終町,,1,00302_01001_2749,S_00302030,1,0
00302,01001,00302_01001_2763,四条河原町・百万遍・上終町,,1,00302_01001_2763,S_00302010,1,0
003A0,01001,00302_01001_2764,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2764,S_00302020,1,0
00302,01001,00302_01001_2765,四条河原町・百万遍・上終町,,1,00302_01001_2765,S_00302030,1,0
00302,01001,00302_01001_2784,四条河原町・百万遍・上終町,,1,00302_01001_2731,S_00302010,1,0
003A0,01001,00302_01001_2785,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2785,S_00302020,1,0
00302,01001,00302_01001_2786,四条河原町・百万遍・上終町,,1,00302_01001_2786,S_00302030,1,0
00302,01001,00302_01001_2801,四条河原町・百万遍・上終町,,1,00302_01001_2801,S_00302010,1,0
003A0,01001,00302_01001_2802,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2802,S_00302020,1,0
00302,01001,00302_01001_2803,四条河原町・百万遍・上終町,,1,00302_01001_2803,S_00302030,1,0
00302,01001,00302_01001_2804,四条河原町・百万遍・上終町,,1,00302_01001_2804,S_00302010,1,0
003A0,01001,00302_01001_2805,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2805,S_00302020,1,0
00302,01001,00302_01001_2806,四条河原町・百万遍・上終町,,1,00302_01001_2806,S_00302030,1,0
00302,01001,00302_01001_2807,四条河原町・百万遍・上終町,,1,00302_01001_2899,S_00301001,1,0
003A0,01001,00302_01001_2808,出町柳駅・四条河原町・京都外大,,1,00302_01001_2808,S_00301002,1,0
00302,01001,00302_01001_2810,四条河原町・百万遍・上終町,,1,00302_01001_2927,S_00302010,1,0
003A0,01001,00302_01001_2811,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2811,S_00302020,1,0
003A0,01001,00302_01001_2812,京都外大,,1,00302_01001_2812,S_00302030,1,0
00302,01001,00302_01001_2817,四条河原町・百万遍・上終町,,1,00302_01001_2992,S_00302010,1,0
003A0,01001,00302_01001_2818,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2818,S_00302020,1,0
00302,01001,00302_01001_2819,四条河原町・百万遍・上終町,,1,00302_01001_2819,S_00302030,1,0
00302,01001,00302_01001_2820,四条河原町・百万遍・上終町,,1,00302_01001_2749,S_00302010,1,0
003A0,01001,00302_01001_2821,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2821,S_00302020,1,0
00302,01001,00302_01001_2822,四条河原町・百万遍・上終町,,1,00302_01001_2822,S_00302030,1,0
00302,01001,00302_01001_2823,四条河原町・百万遍・上終町,,1,00302_01001_2823,S_00302010,1,0
003A0,01001,00302_01001_2824,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2824,S_00302020,1,0
00302,01001,00302_01001_2825,四条河原町・百万遍・上終町,,1,00302_01001_2825,S_00302030,1,0
00302,01001,00302_01001_2837,四条河原町・百万遍・上終町,,1,00302_01001_2786,S_00302010,1,0
003A0,01001,00302_01001_2838,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2838,S_00302020,1,0
00302,01001,00302_01001_2839,四条河原町・百万遍・上終町,,1,00302_01001_2839,S_00302030,1,0
00302,01001,00302_01001_2855,四条河原町・百万遍・上終町,,1,00302_01001_2855,S_00302010,1,0
003A0,01001,00302_01001_2856,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2856,S_00302020,1,0
00302,01001,00302_01001_2857,四条河原町・百万遍・上終町,,1,00302_01001_2857,S_00302030,1,0
